observation,date,mean,lower_5,upper_95
75,2024-07-08,-4895.328684186906,-15444.088718097675,4256.610544609808
76,2024-07-15,-4898.2034932340985,-14392.074864800874,4614.395997976794
77,2024-07-22,-5340.087572553425,-14636.88371765359,2837.2017519935416
78,2024-07-29,-4951.708376248675,-14171.164470474847,3657.0210721236745
79,2024-08-05,-5319.149348764257,-14427.252668086014,3403.27070639053
80,2024-08-12,-4787.455532233015,-12859.465703290269,3584.356591855895
81,2024-08-19,-5200.834936063688,-13377.200406151724,2461.822139202175
82,2024-08-26,-4288.19259560126,-12643.981204334794,3986.1359199462017
83,2024-09-02,-4348.201382929396,-11742.179204762073,3117.464757732004
84,2024-09-09,-4051.9164339243653,-12003.428814074554,4583.243661822223
85,2024-09-16,-3334.689125660134,-11959.97798833342,4802.38428946681
86,2024-09-23,-2843.770010761738,-12100.109825323801,5971.749638908556
87,2024-09-30,-2663.6685772847245,-11773.271679897629,5638.6169611376
88,2024-10-07,-1978.0733503724161,-12203.665801393086,7267.368269149172
89,2024-10-14,-1399.9022030695558,-10774.538775870562,8636.983260350418
90,2024-10-21,-559.7562223740729,-10524.06490730209,8751.711120075972
91,2024-10-28,-4.829407057314041,-10147.025356756245,10515.235986512891
92,2024-11-04,538.3190953303812,-8631.237809445114,10542.882159274479
93,2024-11-11,1264.2305518782161,-9903.037384337069,12495.56797640184
94,2024-11-18,1636.896621801342,-9294.80265720118,12888.077725905161
95,2024-11-25,2497.8467143927887,-8153.950697740873,14229.155731841898
96,2024-12-02,3242.8386698587738,-7658.877370363049,14268.129167129016
97,2024-12-09,3480.09518112754,-6899.088903607127,14468.131962058864
98,2024-12-16,4221.856473958774,-6302.126669923052,15961.84540684011
99,2024-12-23,4319.0577948591135,-5551.172842148628,15855.81172468201
100,2024-12-30,4811.192068693005,-5679.916560437923,16756.341989457113
101,2025-01-06,5086.969912320924,-3961.1244206750794,15087.517304895346
102,2025-01-13,5024.2778013335555,-4367.214804917032,15407.143308512988
103,2025-01-20,5293.037945508944,-4431.4741289761605,15892.586193233694
104,2025-01-27,5608.619174513213,-3638.3075716021494,14650.276083990355
