date,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,revenue
2024-04-15,603674.4,0,0,600546.6993,340615.56435,216800,2370613.333
2024-04-22,0,0,0,0,223013.83945,167600,1814556.667
2024-04-29,0,383171.2,0,882051.7852,0,0,1951668.333
2024-05-06,0,0,320730.6667,0,0,0,1918238.333
2024-05-13,0,0,0,1426918.982,187696.0246,135200,1472390
2024-05-20,0,0,420833.3333,0,232314.96605,140000,1477865
2024-05-27,155413.2,0,0,0,205990.096,126400,1300166.667
2024-06-03,0,0,595614.6667,0,149021.5926,113200,1160205
2024-06-10,0,73428.8,0,311472.8042,229511.14965,144000,1356871.667
2024-06-17,0,0,0,0,159879.00185,136800,1355833.333
2024-06-24,0,1501084.8,0,0,127328.2433,110000,1176266.667
2024-07-01,112035.8,0,0,0,136257.517,106400,1955281.667
2024-07-08,0,888464,0,0,130707.30705,98000,1029928.333
2024-07-15,549343.8,0,0,0,110900.19125,78000,2263143.333
2024-07-22,0,919038.4,0,0,92628.07885,80400,813771.6667
2024-07-29,0,0,0,0,0,0,880871.6667
2024-08-05,0,123019.2,0,463421.0103,0,0,919185
2024-08-12,0,0,215241.3333,0,92900.46455,65200,826321.6667
2024-08-19,136882,127460.8,0,384954.4192,93793.56215,80400,833798.3333
2024-08-26,0,0,0,0,110311.3148,66800,746271.6667
2024-09-02,543895.2,0,0,32886.0827,133888.0129,95200,1036406.667
2024-09-09,0,475896,139782.6667,0,103946.7291,80000,927931.6667
2024-09-16,68411.4,0,287192,751176.2818,189722.32445,113600,1126943.333
2024-09-23,0,0,0,0,177797.8926,111600,1184220
2024-09-30,147957,324544,748725.3333,0,165282.587,115600,1315508.333
2024-10-07,0,0,0,0,173434.0572,116000,1279360
2024-10-14,170773.8,616320,43573.33333,0,190192.77765,136000,1455811.667
2024-10-21,0,314598.4,284017.3333,0,268380.94505,160800,1553355
2024-10-28,510705.8,0,0,0,0,0,1374855
2024-11-04,0,0,340445.3333,193224.8321,0,0,1970110
2024-11-11,1768336.8,0,0,142270.4849,351675.3736,210000,2336431.667
2024-11-18,0,0,0,0,224049.12285,194800,2002065
2024-11-25,733039,450494.4,138310.6667,81108.62433,234997.04015,167600,2027418.333
2024-12-02,0,0,0,0,275831.34715,193200,1886570
2024-12-09,1254957.6,433691.2,0,316785.6248,364992.80455,229200,2529721.667
2024-12-16,1669566.8,175089.6,0,0,348399.1688,220400,2357930
2024-12-23,669566.8,981708.8,555148,580826.0028,276466.789,240400,3003391.667
2024-12-30,0,0,0,448121.873,363824.15485,227600,2283685
2025-01-06,665407.6,138273.6,0,642805.4701,346737.65585,237600,2584721.667
2025-01-13,69678.4,0,0,670349.6442,365650.65585,254000,2565400
2025-01-20,317235.2,955572.8,691197.3333,399440.3037,394953.5856,294800,3407085
2025-01-27,0,0,0,956728.3551,0,0,2803291.667
