observation,date,panel,geo,mean,lower_5,upper_95,draw_sd
126,2023-07-03,FR,FR,1.2997885272055068e6,892175.0785420407,1.7584185871201097e6,268993.3282675448
127,2023-07-10,FR,FR,1.0004250526555929e6,557362.3226829822,1.451829564001481e6,268910.1307620824
128,2023-07-17,FR,FR,1.1190923690046726e6,649881.4931743742,1.5922281777836466e6,291581.2901164209
129,2023-07-24,FR,FR,1.0154367078461462e6,563386.3872461459,1.5065151390037946e6,283285.9523426046
130,2023-07-31,FR,FR,1.0969723444460682e6,640536.1593120507,1.5978740763263123e6,289854.3387337018
131,2023-08-07,FR,FR,968134.8792870346,489749.04441671725,1.3948319371767435e6,272955.57233580726
132,2023-08-14,FR,FR,841152.2659036261,387371.9724540095,1.3022178645881782e6,290160.5397502853
133,2023-08-21,FR,FR,903902.5212664197,452596.7623861914,1.2955206113595865e6,255575.7954312137
134,2023-08-28,FR,FR,911643.4419502569,445103.7480535578,1.3965951790295595e6,293375.96801085817
135,2023-09-04,FR,FR,1.1531920904292876e6,729719.5659648695,1.6053584827742218e6,262611.91434726014
136,2023-09-11,FR,FR,939843.7877584366,509465.1194003654,1.3661005301963962e6,266052.0211278855
137,2023-09-18,FR,FR,1.097694342287895e6,626204.2786349289,1.511377383602842e6,268468.46897142276
138,2023-09-25,FR,FR,1.0157718112550225e6,549424.3500381032,1.4779203617646862e6,274317.44261478545
139,2023-10-02,FR,FR,1.2700637543302719e6,816715.1057811239,1.7062850359041614e6,278847.48787887854
140,2023-10-09,FR,FR,1.1684285383249053e6,682780.8926899233,1.6296303889503318e6,282697.7115761461
141,2023-10-16,FR,FR,1.6207437524552282e6,1.1532467988352776e6,2.0871213242384798e6,282048.54196881794
142,2023-10-23,FR,FR,1.352232703640279e6,924990.4166488887,1.8051105774212407e6,273505.5900889175
143,2023-10-30,FR,FR,1.5389928269440203e6,1.0974385543758597e6,2.0146234343122332e6,275561.5388480527
144,2023-11-06,FR,FR,1.50447227991695e6,982436.7868165165,1.9878686704083197e6,292780.4205326446
145,2023-11-13,FR,FR,1.8426677355913264e6,1.3897050608433995e6,2.268309588331366e6,279696.13742625504
146,2023-11-20,FR,FR,1.9340224286630235e6,1.4972185708157176e6,2.384088541174055e6,276220.4134114382
147,2023-11-27,FR,FR,1.9164388216922367e6,1.398133241831745e6,2.38210465296042e6,279066.1439303169
148,2023-12-04,FR,FR,2.2718862686797893e6,1.7888006611204958e6,2.7234246340438006e6,294126.5272048627
149,2023-12-11,FR,FR,2.101654493917237e6,1.63570504622321e6,2.5739264258379764e6,290915.840677416
150,2023-12-18,FR,FR,2.8199351139753372e6,2.326182399251208e6,3.2823143839878803e6,296231.518078487
151,2023-12-25,FR,FR,2.486759890675927e6,2.0223927157890138e6,2.974211612345564e6,288584.66377088526
152,2024-01-01,FR,FR,2.7870030813519415e6,2.3502084251804505e6,3.2323357446115916e6,269649.9066387965
153,2024-01-08,FR,FR,2.7053787338353083e6,2.217248475486237e6,3.1511203897755044e6,280920.0800314294
154,2024-01-15,FR,FR,3.0228741881732764e6,2.5611640369064515e6,3.468837312095494e6,281728.9349490952
155,2024-01-22,FR,FR,2.7979764102180963e6,2.293842698921729e6,3.2140369790886943e6,277273.4490609879
156,2024-01-29,FR,FR,2.855377296748161e6,2.427700547411165e6,3.3452670738473013e6,281885.0681550051
157,2024-02-05,FR,FR,2.723704646850996e6,2.31109315996643e6,3.1861779692685213e6,273787.316358284
158,2024-02-12,FR,FR,2.6600228444059812e6,2.2313479158653026e6,3.0744949861922218e6,265015.5458129513
159,2024-02-19,FR,FR,2.673120558012137e6,2.1601108553148955e6,3.1159041013246384e6,279315.4180249972
160,2024-02-26,FR,FR,2.4533869412567485e6,1.9818239581079804e6,2.9583351016904037e6,286417.6363423205
161,2024-03-04,FR,FR,2.4314630562467906e6,1.971655367020575e6,2.8919230325052454e6,280516.7673390007
162,2024-03-11,FR,FR,2.8873290335002965e6,2.4476723186940625e6,3.345801070046631e6,280826.3392158107
163,2024-03-18,FR,FR,2.9810726997038904e6,2.535124270577454e6,3.4309400481463945e6,287573.16923630144
164,2024-03-25,FR,FR,2.3891643941082596e6,1.9284449938706653e6,2.8334557890563514e6,268453.9319437235
165,2024-04-01,FR,FR,2.17807219759531e6,1.751252323756321e6,2.625883487537572e6,264935.13195623516
166,2024-04-08,FR,FR,2.2780779480126803e6,1.8065879402749257e6,2.7539531698470386e6,281707.87966637
167,2024-04-15,FR,FR,2.3426165289702383e6,1.9184383237104847e6,2.802112535855111e6,275796.79274685145
168,2024-04-22,FR,FR,1.8469433616595403e6,1.3794031984213793e6,2.2850341383580477e6,284200.20789570117
169,2024-04-29,FR,FR,1.8073754913749937e6,1.3189334531772756e6,2.2783952028526766e6,294851.67782042397
170,2024-05-06,FR,FR,1.4643060875153027e6,1.0095768600762408e6,1.8850702371885367e6,261430.65151833184
171,2024-05-13,FR,FR,1.8754651608128222e6,1.4148950979909885e6,2.359760852066655e6,299158.3772099116
172,2024-05-20,FR,FR,1.5609079890313454e6,1.1275002525641883e6,1.9895690019563348e6,275998.16579111555
173,2024-05-27,FR,FR,1.5519292634407387e6,1.1112767997160864e6,2.0502009139458349e6,283449.3070937381
174,2024-06-03,FR,FR,1.5071273818026765e6,1.0615295729480623e6,2.0047062766039132e6,277835.46897622116
175,2024-06-10,FR,FR,1.4238109197261436e6,971528.3619112653,1.908219348917789e6,283513.86687197565
176,2024-06-17,FR,FR,1.2819826107990027e6,809994.4615497887,1.740207449482832e6,278513.2853744023
177,2024-06-24,FR,FR,1.3651385857383497e6,860311.3097837747,1.847031030851108e6,299006.4320359729
178,2024-07-01,FR,FR,1.2942055758901492e6,832162.0210116494,1.7897361621902797e6,279021.620093858
179,2024-07-08,FR,FR,1.1123529981019413e6,671935.9610860442,1.5739972058186906e6,275324.052610352
180,2024-07-15,FR,FR,1.3786733380284228e6,912119.0246082575,1.8173290118814996e6,270104.9798397748
181,2024-07-22,FR,FR,1.1712763277663183e6,616214.6704124275,1.6238298537988353e6,291376.76614955126
182,2024-07-29,FR,FR,982835.96203599,529118.8409227199,1.424908650786799e6,274934.38796698727
183,2024-08-05,FR,FR,1.0776583972102941e6,619915.2526345882,1.5399223643827296e6,277395.1624924098
184,2024-08-12,FR,FR,887439.7070551591,440972.72124941525,1.329992148966081e6,270579.8212259248
185,2024-08-19,FR,FR,1.1285418267344504e6,715578.6243903473,1.5731374267372184e6,272512.16537297855
186,2024-08-26,FR,FR,951119.2684645662,493582.2052208853,1.4182877154780347e6,282541.2412843036
187,2024-09-02,FR,FR,1.209629080404315e6,753860.1939837087,1.6557003811765455e6,276548.37475243886
188,2024-09-09,FR,FR,1.0741034761364195e6,606845.2215467307,1.5150716313549597e6,276132.49499880575
189,2024-09-16,FR,FR,1.3202400655370874e6,890750.4524769596,1.7861007913491174e6,275824.8392409359
190,2024-09-23,FR,FR,1.1042070016100435e6,629237.9627000171,1.540342979290021e6,287347.23904261197
191,2024-09-30,FR,FR,1.3649101859890998e6,870953.9323035948,1.8652836333137006e6,297364.2336121704
192,2024-10-07,FR,FR,1.1988597542833893e6,758604.9182653221,1.6462075657847042e6,261551.6186138246
193,2024-10-14,FR,FR,1.3889346984102603e6,968824.2981072408,1.8757296229240985e6,272026.6946235459
194,2024-10-21,FR,FR,1.482654736718925e6,1.0122092250076367e6,1.9655893538121686e6,287887.93820763455
195,2024-10-28,FR,FR,1.5509138876941872e6,1.0631969312003732e6,2.0392032278206327e6,295203.18165040395
196,2024-11-04,FR,FR,1.5943663239814094e6,1.1498849115296365e6,2.0359889088853518e6,272820.8068865531
197,2024-11-11,FR,FR,2.0335532877239902e6,1.575853747344473e6,2.499799091692651e6,285270.50853484386
198,2024-11-18,FR,FR,1.8480759146659814e6,1.4194019000171493e6,2.324330465974488e6,281316.7183971506
199,2024-11-25,FR,FR,2.266131369510172e6,1.822914423883211e6,2.7498730770571996e6,275774.8592000285
200,2024-12-02,FR,FR,2.043940861569563e6,1.5799359489444334e6,2.499375583833017e6,276186.89801350486
201,2024-12-09,FR,FR,2.632234734394751e6,2.1756728276162073e6,3.086709501830906e6,287668.5796635132
202,2024-12-16,FR,FR,2.6611975376577643e6,2.217266793943118e6,3.1409353554327106e6,276407.62718060694
203,2024-12-23,FR,FR,2.8796386976908217e6,2.409419031500185e6,3.35254181403534e6,283959.3106748129
204,2024-12-30,FR,FR,2.510288807986422e6,2.0976008033543075e6,2.942734514416254e6,263766.2763085372
205,2025-01-06,FR,FR,2.8857782776420517e6,2.3994825169311007e6,3.3070070767589165e6,294631.71899483673
206,2025-01-13,FR,FR,2.7118647223446425e6,2.2721087863841504e6,3.1623481515474226e6,269476.65340798453
207,2025-01-20,FR,FR,3.002392271822198e6,2.556566857253744e6,3.4542272492295112e6,278684.69704823545
208,2025-01-27,FR,FR,2.6937665301873656e6,2.2013784722670624e6,3.187869815795737e6,301442.1218001117
209,2023-02-06,DE,DE,2.7142254628165364e6,2.198536512221886e6,3.222582907704244e6,309436.9684129447
210,2023-02-13,DE,DE,2.6681099117993168e6,2.1951113192949286e6,3.128036022484331e6,287351.34621422767
211,2023-02-20,DE,DE,2.523202642794504e6,2.0373019705050616e6,2.9920293078802098e6,290747.27977991366
212,2023-02-27,DE,DE,2.9294213745038086e6,2.4222587823435767e6,3.4374338254920673e6,299220.6632451759
213,2023-03-06,DE,DE,2.4722801273302455e6,2.0039096728300788e6,2.949484265599064e6,280214.96278144006
214,2023-03-13,DE,DE,2.7694488486269787e6,2.2921596262811455e6,3.2596134629128627e6,296415.7678643661
215,2023-03-20,DE,DE,2.419744374978323e6,1.927692931135413e6,2.920458255390914e6,292158.59115226025
216,2023-03-27,DE,DE,2.447287063200966e6,2.0274831138457707e6,2.9211649338146644e6,275146.70010362426
217,2023-04-03,DE,DE,2.0251998967414238e6,1.5891232886523171e6,2.4966810521394834e6,288816.9278003295
218,2023-04-10,DE,DE,1.9408965383161195e6,1.4957991243105042e6,2.385349703501988e6,280838.9259105431
219,2023-04-17,DE,DE,1.9531521607904544e6,1.5100922557428896e6,2.4463128860441274e6,285881.8590861491
220,2023-04-24,DE,DE,1.8554934426400065e6,1.3803338660901147e6,2.307258834086773e6,276068.18600145436
221,2023-05-01,DE,DE,1.9243841391444267e6,1.4425137752932264e6,2.4156975434918683e6,300566.1461506166
222,2023-05-08,DE,DE,1.5833074530787673e6,1.0807932206269293e6,2.0818967723072236e6,296086.5495918747
223,2023-05-15,DE,DE,1.757706283657954e6,1.261239197001207e6,2.2578446857769713e6,293698.06867007964
224,2023-05-22,DE,DE,1.6106977814373893e6,1.1505852650076665e6,2.0747202728664652e6,290113.7868943547
225,2023-05-29,DE,DE,1.4850322824089008e6,1.0281110877676726e6,1.8999540454915322e6,276307.7638800695
226,2023-06-05,DE,DE,1.3735885098619112e6,902092.200037315,1.8356818939568878e6,280617.5886096412
227,2023-06-12,DE,DE,1.6231210960802557e6,1.1854268269919823e6,2.1275954808478155e6,286415.86252640636
228,2023-06-19,DE,DE,1.2771679587210678e6,841108.8532859556,1.764452960214248e6,276283.1912625551
229,2023-06-26,DE,DE,1.195019864130308e6,706900.2818782195,1.653882710144865e6,288814.8869179963
230,2023-07-03,DE,DE,1.285668009836208e6,825405.4992385936,1.7311627817853035e6,274982.3435130452
231,2023-07-10,DE,DE,1.10656392237904e6,616155.3411379086,1.5762845603413363e6,290910.04447494546
232,2023-07-17,DE,DE,1.118186174195654e6,659641.3723895473,1.5962657073816475e6,292597.09176160285
233,2023-07-24,DE,DE,1.0051406374990994e6,529557.8682852574,1.4836543151224696e6,283353.38506457827
234,2023-07-31,DE,DE,1.083332031862756e6,596021.2553678373,1.5528910589162435e6,303057.20426206465
235,2023-08-07,DE,DE,960038.9371895603,498151.9298301993,1.3892656892679234e6,268999.4233448686
236,2023-08-14,DE,DE,922815.7028810824,508339.4355317119,1.3671797642502275e6,272448.4441708719
237,2023-08-21,DE,DE,902165.932798576,458813.4982573576,1.3311545744800535e6,260108.37578530092
238,2023-08-28,DE,DE,906432.6798158108,459052.76878795435,1.374149285247807e6,272962.93502195383
239,2023-09-04,DE,DE,1.1966577988922163e6,719063.1521010948,1.616817072789401e6,269737.162741013
240,2023-09-11,DE,DE,974513.6070485427,438794.05184307025,1.444468750584692e6,293325.44071342715
241,2023-09-18,DE,DE,1.0743521896754145e6,618370.8733601156,1.4959081447526237e6,258638.56593148384
242,2023-09-25,DE,DE,1.0091055554665622e6,532572.420586419,1.4723569836691474e6,271087.9169102829
243,2023-10-02,DE,DE,1.227736794725825e6,743052.8419529425,1.661741550864683e6,274464.2710971973
244,2023-10-09,DE,DE,1.173668663605375e6,702375.7807962495,1.6182299158587176e6,273040.9971769841
245,2023-10-16,DE,DE,1.6353563492640916e6,1.1724359730519643e6,2.0949532525351483e6,287277.92276237113
246,2023-10-23,DE,DE,1.3624422751681188e6,870000.0097339735,1.825701373332171e6,295173.8845222059
247,2023-10-30,DE,DE,1.6062378450922784e6,1.1200361647296385e6,2.0604436394250935e6,273335.5434858374
248,2023-11-06,DE,DE,1.5815608529344047e6,1.150163107249483e6,2.0425167470370103e6,285339.1554562739
249,2023-11-13,DE,DE,1.8181480326120744e6,1.3739084973446578e6,2.2749826604268514e6,286173.6860913645
250,2023-11-20,DE,DE,1.9731224356587315e6,1.5357429778717363e6,2.421423220736364e6,285740.9249823472
251,2023-11-27,DE,DE,1.9282339715362748e6,1.4371270011119926e6,2.363453812591661e6,286541.3930687674
252,2023-12-04,DE,DE,2.306926281130856e6,1.7988254104233517e6,2.8422739009051016e6,320293.4153396112
253,2023-12-11,DE,DE,2.1100614552755714e6,1.6457701051396485e6,2.578891724095787e6,280938.19593589107
254,2023-12-18,DE,DE,2.8389586728055947e6,2.371063764338412e6,3.3223212267652485e6,293590.5428883105
255,2023-12-25,DE,DE,2.420290308369441e6,1.9517523098994577e6,2.8904764196410556e6,296645.82203344523
256,2024-01-01,DE,DE,2.8142892283816063e6,2.3413311948657725e6,3.287694023864632e6,279032.7844178589
257,2024-01-08,DE,DE,2.757786252561603e6,2.2521599514732356e6,3.2317483057929412e6,284684.3367031526
258,2024-01-15,DE,DE,3.0538273734064554e6,2.5799777286602613e6,3.479295692476385e6,268091.30091484037
259,2024-01-22,DE,DE,2.8549659915189953e6,2.4054833245458016e6,3.332935750211797e6,273855.25184360245
