date,geo,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,revenue
2024-08-19,UK,136882,127460.8,0,384954.4192,93793.56215,80400,833798.3333
2024-08-26,UK,0,0,0,0,110311.3148,66800,746271.6667
2024-09-02,UK,543895.2,0,0,32886.0827,133888.0129,95200,1036406.667
2024-09-09,UK,0,475896,139782.6667,0,103946.7291,80000,927931.6667
2024-09-16,UK,68411.4,0,287192,751176.2818,189722.32445,113600,1126943.333
2024-09-23,UK,0,0,0,0,177797.8926,111600,1184220
2024-09-30,UK,147957,324544,748725.3333,0,165282.587,115600,1315508.333
2024-10-07,UK,0,0,0,0,173434.0572,116000,1279360
2024-10-14,UK,170773.8,616320,43573.33333,0,190192.77765,136000,1455811.667
2024-10-21,UK,0,314598.4,284017.3333,0,268380.94505,160800,1553355
2024-10-28,UK,510705.8,0,0,0,0,0,1374855
2024-11-04,UK,0,0,340445.3333,193224.8321,0,0,1970110
2024-11-11,UK,1768336.8,0,0,142270.4849,351675.3736,210000,2336431.667
2024-11-18,UK,0,0,0,0,224049.12285,194800,2002065
2024-11-25,UK,733039,450494.4,138310.6667,81108.62433,234997.04015,167600,2027418.333
2024-12-02,UK,0,0,0,0,275831.34715,193200,1886570
2024-12-09,UK,1254957.6,433691.2,0,316785.6248,364992.80455,229200,2529721.667
2024-12-16,UK,1669566.8,175089.6,0,0,348399.1688,220400,2357930
2024-12-23,UK,669566.8,981708.8,555148,580826.0028,276466.789,240400,3003391.667
2024-12-30,UK,0,0,0,448121.873,363824.15485,227600,2283685
2025-01-06,UK,665407.6,138273.6,0,642805.4701,346737.65585,237600,2584721.667
2025-01-13,UK,69678.4,0,0,670349.6442,365650.65585,254000,2565400
2025-01-20,UK,317235.2,955572.8,691197.3333,399440.3037,394953.5856,294800,3407085
2025-01-27,UK,0,0,0,956728.3551,0,0,2803291.667
2023-02-06,FR,338749.794991551,0,385695.013815463,736369.669546289,0,0,2781917.63974254
2023-02-13,FR,433525.092530106,0,0,167473.076067675,149046.423517242,125240.287853143,2610211.79046615
2023-02-20,FR,0,400834.628155498,13753.1637944143,504587.247375199,182469.525774601,114742.643744236,2573048.23427139
2023-02-27,FR,1264345.57629061,0,535713.765454186,319676.776652153,185866.99470346,128876.433017866,2904032.97919617
2023-03-06,FR,0,840391.786883146,0,88904.8896941346,143434.242896205,109494.663344899,2238238.62175049
2023-03-13,FR,503403.250064916,0,967335.216872021,504051.390401707,192220.528991619,114339.497622947,2595651.77542333
2023-03-20,FR,10409.6443766413,687114.444226389,0,415632.082590837,183266.405433339,112321.690103834,2193427.69414778
2023-03-27,FR,44727.3654499868,0,714550.861553944,571256.914605595,175568.377785874,129283.308917727,2488865.67699261
2023-04-03,FR,0,0,0,360880.246348735,141524.166125704,92518.3255688145,2032791.95771084
2023-04-10,FR,0,0,340720.289265492,321814.995881745,106410.141734898,92520.9877866189,1756411.68289421
2023-04-17,FR,250155.360186832,128713.932228614,0,0,141531.29752775,83225.4032850647,1790052.73077712
2023-04-24,FR,0,0,144348.408961346,345931.371993918,107683.652548073,81614.4537121755,1827156.53829559
2023-05-01,FR,1004142.86648286,0,74188.8653548176,153421.031113441,0,0,1972450.56426528
2023-05-08,FR,0,0,0,0,0,0,1522952.79998014
2023-05-15,FR,629605.85923763,0,0,327859.012227238,81146.7213700194,69489.9001699414,1525617.63928443
2023-05-22,FR,0,0,500145.466432163,0,145837.953934795,85648.6109511003,1604814.14654769
2023-05-29,FR,299572.359075197,133312.116246705,0,0,86185.7077425847,71918.550654969,1622168.98407969
2023-06-05,FR,0,0,0,0,106610.053661869,69493.2635923862,1369629.5643298
2023-06-12,FR,0,200249.328114006,411476.631458761,810496.307236371,92278.3023512058,76765.3717955409,2125003.68665557
2023-06-19,FR,0,0,0,34737.7718037025,70245.7485549609,57776.2807728901,1132044.39003119
2023-06-26,FR,0,201240.897239174,0,0,67315.7830606571,56561.6145886467,1152591.29014433
2023-07-03,FR,168578.764528765,0,0,285344.292537893,86308.1754841614,54138.3968425555,1178632.80434883
2023-07-10,FR,0,0,0,0,62193.4140651415,54545.0974725333,897725.08771601
2023-07-17,FR,0,0,379350.455642685,0,55829.3575372645,38382.849596123,907932.063238577
2023-07-24,FR,0,151377.795961753,0,0,67008.5151342359,43231.9815920775,898331.948881401
2023-07-31,FR,0,0,0,512656.914082877,0,0,1934551.64709439
2023-08-07,FR,0,377067.904471112,0,0,0,0,1016950.75110301
2023-08-14,FR,0,0,0,0,69174.7715568151,40805.3687861901,877939.989092647
2023-08-21,FR,0,0,0,0,47123.770198574,36360.4145464612,734551.0252938
2023-08-28,FR,0,0,0,0,72926.4841991347,46059.8909639185,761320.44725025
2023-09-04,FR,310182.066395157,375470.897639362,0,337914.712407381,67805.5486881347,49290.2225033361,1009197.47392001
2023-09-11,FR,0,0,0,0,55679.5688564476,45653.4213546667,854324.015508936
2023-09-18,FR,153336.691306652,0,156611.920797644,0,65661.0333097044,52929.0363350312,1137284.29607083
2023-09-25,FR,0,0,0,0,88677.139348663,57776.1366365458,1152388.2418643
2023-10-02,FR,28793.3811889902,968554.430870745,144862.643605185,340677.499473233,63865.4808622499,43228.1135591032,1255200.33356088
2023-10-09,FR,0,0,0,0,95293.4798877975,58988.5198949641,1306468.63852344
2023-10-16,FR,426948.519489041,497619.138562792,0,541438.694187909,103813.627822036,69087.3473073298,1499830.6799434
2023-10-23,FR,0,0,24476.8741810297,0,110668.877627846,76761.9186540756,1500567.67453632
2023-10-30,FR,433780.479382549,0,0,155278.528710633,0,0,1572327.4640385
2023-11-06,FR,0,0,423617.055786465,117809.865307168,0,0,1405156.92877641
2023-11-13,FR,363479.410737407,483755.898211291,0,0,138651.358858909,93325.3458900852,2038987.13186532
2023-11-20,FR,322132.447388922,266065.71273205,93370.2471533989,39190.4122686566,110157.024890331,96161.414094991,2192510.08878823
2023-11-27,FR,0,485184.745603252,0,0,153511.262848422,101005.144564225,2270231.67936634
2023-12-04,FR,0,99067.2814643584,773784.577327899,551127.411956765,160073.802719763,103028.026063587,2214020.63189665
2023-12-11,FR,0,492026.46299998,0,0,113228.649402268,90097.3648191844,1914289.9771866
2023-12-18,FR,2189871.2067355,369281.978898044,297360.945522026,431074.066574908,146151.401889307,102215.605710197,2255377.35820315
2023-12-25,FR,0,0,324951.79950669,465153.504162739,190088.511574069,120807.696883241,2430162.53778155
2024-01-01,FR,1233165.64160421,90289.6643762977,0,620364.746928068,185361.914849888,112722.284281287,2275158.99865083
2024-01-08,FR,0,481533.429984002,283640.27600526,645865.66119458,159585.363095866,123627.869124025,2689788.03580309
2024-01-15,FR,1424157.03236143,0,0,724898.486726407,175043.897067019,148279.887699703,3004749.73151695
2024-01-22,FR,0,432090.906181792,349804.540217713,646766.867135404,213250.661442877,126056.726689417,2854465.99973917
2024-01-29,FR,792739.576131827,0,0,527263.061991958,0,0,3214952.93786515
2024-02-05,FR,105408.090923062,439430.047328411,220983.984683939,812941.674890555,0,0,2994387.38987142
2024-02-12,FR,0,0,125536.950071206,542765.417174184,373510.033240411,288886.707661112,2877244.41120806
2024-02-19,FR,215968.595245243,724465.9354408,0,216864.696700388,328895.132062187,254527.28690981,2767686.21748872
2024-02-26,FR,0,0,0,297698.743258845,266504.006754284,222622.544467559,2404372.78880231
2024-03-04,FR,0,1014851.61032936,0,142635.251634921,240821.198431045,208875.18870628,2253340.58021681
2024-03-11,FR,1631984.01688824,0,0,692232.219209243,393178.059876836,234330.493897951,3696130.66422671
2024-03-18,FR,621979.317359883,1374721.88027491,848398.977500873,587583.857027296,293830.804108488,223418.089633428,2855413.82550276
2024-03-25,FR,0,0,0,592603.65881561,319235.452577419,214532.555125389,2062568.38332988
2024-04-01,FR,89591.1228018504,0,46531.8659111257,566031.490280713,312659.206446737,203230.96672123,2134656.48707031
2024-04-08,FR,0,0,326677.722905757,876302.263246396,310003.336122583,212112.990019311,2201900.19785706
2024-04-15,FR,609730.193124982,0,0,606576.152221139,344022.614059082,218971.590919913,2394545.88141324
2024-04-22,FR,0,0,0,0,225253.037607728,169280.774245935,1832720.55112394
2024-04-29,FR,0,387025.937253453,0,890930.453720618,0,0,1971337.00424836
2024-05-06,FR,0,0,323948.715285969,0,0,0,1937478.92441775
2024-05-13,FR,0,0,0,1441249.81033312,189586.971014326,136562.353779694,1487237.23028822
2024-05-20,FR,0,0,425062.699020536,0,234642.599781073,141403.698416915,1492735.1917038
2024-05-27,FR,156981.447851237,0,0,0,208064.019196148,127674.739276264,1313170.1211961
2024-06-03,FR,0,0,601572.563112994,0,150523.373891827,114336.019135211,1171860.43749538
2024-06-10,FR,0,74169.9825833656,0,314614.420198439,231813.641364055,145453.613808878,1370556.84413072
2024-06-17,FR,0,0,0,0,161478.961580236,138169.985737481,1369411.6495382
2024-06-24,FR,0,1516212.12591515,0,0,128610.334809955,111100.83694244,1188121.93943676
2024-07-01,FR,113166.351115711,0,0,0,137621.565854938,107469.100652678,1974941.9003666
2024-07-08,FR,0,897402.045488419,0,0,132015.972991442,98988.5978232009,1040286.67938627
2024-07-15,FR,554869.553260956,0,0,0,112010.418661785,78786.0543019094,2285969.24195297
2024-07-22,FR,0,928286.618356041,0,0,93561.2440776739,81207.5572587519,821913.144297691
2024-07-29,FR,0,0,0,0,0,0,889721.378983162
2024-08-05,FR,0,124253.251767104,0,468075.986654746,0,0,928443.299930358
2024-08-12,FR,0,0,217394.517200589,0,93837.8569555308,65855.8901289411,834657.005696746
2024-08-19,FR,138257.531562023,128736.013982047,0,388814.679092816,94739.4761563196,81205.9539470961,842143.29151857
2024-08-26,FR,0,0,0,0,111424.682055971,67473.7772285893,753805.554335409
2024-09-02,FR,549366.191309136,0,0,33217.3662756759,135227.802771377,96156.8784903608,1046801.25922762
2024-09-09,FR,0,480674.249901316,141192.822010656,0,104993.557322632,80803.3619078834,937269.762321731
2024-09-16,FR,69098.3875678008,0,290078.550438413,758734.9436243,191631.185951484,114738.21317523,1138243.23579664
2024-09-23,FR,0,0,0,0,179584.675090329,112720.854004563,1196086.59319951
2024-09-30,FR,149439.606265704,327794.486270809,756217.215158893,0,166937.13174684,116764.014871195,1328762.49172231
2024-10-07,FR,0,0,0,0,175170.435781038,117161.449618721,1292215.15434319
2024-10-14,FR,172492.765827912,622488.683982705,44011.4397166165,0,192103.982067016,137360.706197552,1470458.61406313
2024-10-21,FR,0,317753.436755326,286865.964618346,0,271066.856446531,162411.050205601,1568911.62423703
2024-10-28,FR,515815.439070995,0,0,0,0,0,1388607.7477227
2024-11-04,FR,0,0,343863.649522479,195175.918768594,0,0,1989976.87488885
2024-11-11,FR,1786170.35073941,0,0,143696.941106553,355220.888715941,212104.644963257,2360022.72462885
2024-11-18,FR,0,0,0,0,226310.555809759,196758.556500846,2022134.59688716
2024-11-25,FR,740399.68427473,455027.828611907,139695.319609947,81926.3504173765,237356.916132228,169290.951335695,2047737.30517267
2024-12-02,FR,0,0,0,0,278612.941914435,195151.149145478,1905521.48311248
2024-12-09,FR,1267508.9683503,438047.14869476,0,319975.641680315,368672.231123097,231493.119774542,2555147.60277094
2024-12-16,FR,1686386.40188848,176853.830073042,0,0,351908.106412417,222621.328762284,2381671.8677788
2024-12-23,FR,676292.046678755,991553.779401853,560724.186296795,586637.305873604,279233.377490554,242810.758799112,3033587.31843103
2024-12-30,FR,0,0,0,452604.828100928,367489.712278531,229894.938608428,2306628.27555571
2025-01-06,FR,672062.294976463,139667.275906337,0,649242.411971673,350234.381619969,239989.699354868,2610648.42243595
2025-01-13,FR,70379.4854104984,0,0,677059.097806609,369319.370038923,256544.451295064,2591264.13925857
2025-01-20,FR,320430.614336631,965149.275498052,698166.682350948,403451.374345136,398926.772253795,297762.1088729,3441423.41019196
2025-01-27,FR,0,0,0,966378.877543113,0,0,2831414.12376559
2023-02-06,DE,342102.701585024,0,389505.184092298,743700.897073884,0,0,2809733.93063076
2023-02-13,DE,437872.271868171,0,0,169129.194657803,150531.089863469,126481.389600703,2636091.1565144
2023-02-20,DE,0,404784.803747486,13889.4235969092,509631.773395506,184283.005696432,115875.480472222,2598364.43168907
2023-02-27,DE,1276961.43957681,0,541053.405949245,322876.959943911,187736.171476351,130154.540671763,2932785.39364305
2023-03-06,DE,0,848810.366764971,0,89784.4738716161,144871.937107351,110583.078814936,2260645.4078778
2023-03-13,DE,508402.029619627,0,976941.287317939,509066.579412322,194125.50049549,115475.430084851,2621722.13794012
2023-03-20,DE,10512.1358988438,693907.5531346,0,419749.682618258,185102.723249811,113433.378455111,2214982.1020492
2023-03-27,DE,45171.8553709828,0,721592.603833786,576943.142338424,177324.863021488,130560.772549474,2513873.74048771
2023-04-03,DE,0,0,0,364481.824247185,142946.993926464,93442.3739352916,2052894.63620127
2023-04-10,DE,0,0,344066.308912078,325042.145859388,107474.16012409,93444.9912213261,1774008.1833617
2023-04-17,DE,252643.119077444,129986.975182286,0,0,142938.609669433,84052.0908022423,1808094.24760413
2023-04-24,DE,0,0,145767.830009646,349385.313387919,108756.820166956,82419.9750522808,1845355.99558359
2023-05-01,DE,1014165.75682844,0,74925.5173750867,154936.111606794,0,0,1991973.68975944
2023-05-08,DE,0,0,0,0,0,0,1538197.24405898
2023-05-15,DE,635853.210362035,0,0,331123.06775066,81953.9792034133,70181.8871621628,1540854.22196034
2023-05-22,DE,0,0,505104.807379361,0,147295.604671635,86501.1479789037,1620833.43443942
2023-05-29,DE,302559.690742738,134625.802560692,0,0,87040.1368440426,72637.6624718721,1638211.57717923
2023-06-05,DE,0,0,0,0,107671.650384524,70184.0092301022,1383160.79518341
2023-06-12,DE,0,202243.676330292,415568.684774042,818552.018063651,93192.5450257941,77521.8529163625,2146263.37524935
2023-06-19,DE,0,0,0,35081.5704690272,70945.083008456,58345.145214217,1143423.08107595
2023-06-26,DE,0,203255.683532966,0,0,67990.5241024024,57128.6203196718,1164144.85486617
2023-07-03,DE,170267.210462588,0,0,288193.401692535,87164.7510656814,54676.2599571621,1190363.42203211
2023-07-10,DE,0,0,0,0,62805.8126649451,55081.4119421724,906610.089463205
2023-07-17,DE,0,0,383143.836872646,0,56388.0851483278,38764.64156767,916893.620958083
2023-07-24,DE,0,152889.547155004,0,0,67669.9219407733,43664.0315324035,907188.374600089
2023-07-31,DE,0,0,0,517712.8324789,0,0,1953774.7883763
2023-08-07,DE,0,380845.922167274,0,0,0,0,1027041.20042907
2023-08-14,DE,0,0,0,0,69869.4413125347,41215.8225063367,886652.692182823
2023-08-21,DE,0,0,0,0,47593.5546135417,36727.0245420853,741817.208288149
2023-08-28,DE,0,0,0,0,73656.3108880066,46520.2757422876,768926.783310003
2023-09-04,DE,313230.077692199,379206.570568803,0,341267.097292209,68476.4821635965,49782.5720836989,1019355.31470964
2023-09-11,DE,0,0,0,0,56232.6280467164,46106.6474037407,862839.346503611
2023-09-18,DE,154859.022053672,0,158176.387366541,0,66310.2202737064,53457.758932659,1148611.86949632
2023-09-25,DE,0,0,0,0,89550.3975043692,58349.9782188977,1163856.11189502
2023-10-02,DE,29078.9923290819,978280.232735309,146315.47752903,344077.577301426,64509.2995048523,43659.0847194667,1267691.92765981
2023-10-09,DE,0,0,0,0,96255.1484808845,59573.6241623166,1319358.60544374
2023-10-16,DE,431199.177302477,502521.251512766,0,546815.387347978,104847.616574013,69777.7559343708,1514834.71699758
2023-10-23,DE,0,0,24721.7630868279,0,111765.132827938,77527.5107494321,1515705.65485978
2023-10-30,DE,438078.642972941,0,0,156832.890906308,0,0,1587839.32087844
2023-11-06,DE,0,0,427825.94633925,118997.607425236,0,0,1419173.29814739
2023-11-13,DE,367120.591342764,488576.530252573,0,0,140023.959020326,94264.1818757875,2059462.76004543
2023-11-20,DE,325361.574854817,268715.636719467,94305.8117494425,39582.3462269939,111245.715239283,97122.1016783287,2214461.91318813
2023-11-27,DE,0,490001.962060862,0,0,155037.37406177,102009.191008898,2292970.51469546
2023-12-04,DE,0,100047.228226971,781433.176351156,556642.368449419,161676.593466529,104049.541565738,2235996.83278079
2023-12-11,DE,0,496873.333309997,0,0,114357.277507618,90995.4203149339,1933340.64919713
2023-12-18,DE,2211452.54907863,372928.178219315,300298.317345218,435393.118868922,147600.932422653,103227.11535276,2277648.49895069
2023-12-25,DE,0,0,328181.521434794,469727.485596607,192003.296695507,122004.144599711,2454398.18606882
2024-01-01,DE,1245422.10381325,91192.1079821944,0,626506.973209431,187208.602538222,113846.905713947,2297798.71337096
2024-01-08,DE,0,486281.39668303,286481.770063848,652238.54000637,161173.449943689,124862.109156508,2716815.34709171
2024-01-15,DE,1438379.9775993,0,0,732093.432670222,176784.177162062,149762.984418264,3034816.09374246
2024-01-22,DE,0,436378.810731266,353286.145706044,653182.277976116,215368.068478305,127319.519176815,2882708.00612745
2024-01-29,DE,800632.532795088,0,0,532446.891312498,0,0,3246932.69895032
2024-02-05,DE,106444.16534954,443819.55361403,223185.884661551,820989.403834178,0,0,3024014.75663049
2024-02-12,DE,0,0,126790.632975052,548179.928866782,377181.491192626,291734.55873329,2905896.2961522
2024-02-19,DE,218106.640425916,731682.486295016,0,219034.484492659,332191.677964576,257067.160824677,2795277.52314075
2024-02-26,DE,0,0,0,300670.127332188,269134.778410158,224815.742029041,2428265.53621861
2024-03-04,DE,0,1024913.10273335,0,144073.797119852,243220.824095711,210963.951154182,2275802.34524932
2024-03-11,DE,1648313.2774337,0,0,699078.483428999,397084.032944336,236648.269538327,3732801.30519351
2024-03-18,DE,628191.788257922,1388510.3039681,856866.126608825,593411.973501711,296725.127029345,225627.66520873,2883797.15087306
2024-03-25,DE,0,0,0,598523.0820823,322430.776255972,216673.759431536,2083330.42920951
2024-04-01,DE,90483.0370073942,0,46991.9771324104,571673.515298761,315795.131114535,205251.243934907,2155626.04811574
2024-04-08,DE,0,0,329959.913733854,885057.320353218,313112.324665486,214229.485042186,2223550.73449123
2024-04-15,DE,615841.308444402,0,0,612660.845152122,347458.526512622,221143.921107097,2418421.33164663
2024-04-22,DE,0,0,0,0,227474.16077501,170960.218768663,1851175.47939666
2024-04-29,DE,0,390841.724651739,0,899867.151031997,0,0,1991010.68066667
2024-05-06,DE,0,0,327185.994383684,0,0,0,1956846.13194198
2024-05-13,DE,0,0,0,1455725.46359818,191455.973330323,137925.108048988,1502092.47330462
2024-05-20,DE,0,0,429315.533810969,0,236979.574618604,142825.34985244,1507518.56673887
2024-05-27,DE,158531.466300422,0,0,0,210126.683454417,128937.384142726,1326347.72856553
2024-06-03,DE,0,0,607639.383105876,0,152003.241799789,115474.445440039,1183620.57772298
2024-06-10,DE,0,74899.1583456776,0,317756.117692495,234141.222473009,146900.703016396,1384119.93297874
2024-06-17,DE,0,0,0,0,163105.992573319,139558.161642344,1383110.45440492
2024-06-24,DE,0,1531251.83291531,0,0,129891.643200067,112205.334289202,1199810.12775406
2024-07-01,DE,114284.359091245,0,0,0,138988.390419406,108531.505554599,1994778.42339979
2024-07-08,DE,0,906273.241912995,0,0,133324.166910081,99960.0331357175,1050591.61094476
2024-07-15,DE,560374.140345804,0,0,0,113130.84916029,79564.8821612953,2308434.48071579
2024-07-22,DE,0,937570.392023008,0,0,94489.4845451293,82014.1193500407,830159.4869742
2024-07-29,DE,0,0,0,0,0,0,898560.080969432
2024-08-05,DE,0,125500.930886968,0,472720.209744267,0,0,937569.810216587
2024-08-12,DE,0,0,219578.10761422,0,94776.5611536016,66507.1483669387,842934.562492187
2024-08-19,DE,139647.244821756,130013.207337526,0,392687.324842903,95680.5168308568,82012.6144482214,850571.911274574
2024-08-26,DE,0,0,0,0,112529.133362789,68136.8560422698,761321.014987802
2024-09-02,DE,554837.323989136,0,0,33549.030317046,136571.374585315,97121.0268374558,1057165.94774738
2024-09-09,DE,0,485434.580972041,142579.589468018,0,106038.342009108,81603.8469602903,946581.453899715
2024-09-16,DE,69784.4169952704,0,292972.242591798,766211.399234866,193543.860100407,115891.636256942,1149486.84825583
2024-09-23,DE,0,0,0,0,181357.309864248,113841.933263032,1208108.79309659
2024-09-30,DE,150927.702245748,331063.802300273,763818.634600949,0,168599.635711712,117912.311542195,1341982.02483152
2024-10-07,DE,0,0,0,0,176912.154462241,118333.4047675,1305177.46127242
2024-10-14,DE,174211.392207189,628746.748808175,44450.0117198898,0,194023.437995021,138723.585619403,1485017.69132972
2024-10-21,DE,0,320917.568007266,289704.302895844,0,273802.246024592,164039.866074191,1584639.76192514
2024-10-28,DE,520963.700686074,0,0,0,0,0,1402383.50194907
2024-11-04,DE,0,0,347299.88961846,197127.913512781,0,0,2009813.6490753
2024-11-11,DE,1803882.81508034,0,0,145117.538551019,358719.019738192,214215.767443535,2383422.7471531
2024-11-18,DE,0,0,0,0,228574.940136271,198716.065094107,2042215.01651936
2024-11-25,DE,747797.982741442,459550.719545351,141089.035225248,82743.1665232906,239702.594441157,170969.232944214,2068309.3333715
2024-12-02,DE,0,0,0,0,281378.264209979,197096.800153536,1924369.91664257
2024-12-09,DE,1280108.97255767,442410.208825592,0,323185.159556261,372347.511028612,233805.650654695,2580387.50657882
2024-12-16,DE,1703061.66908853,178610.400337775,0,0,355417.811721222,224850.949087077,2405322.44384431
2024-12-23,DE,682960.246791243,1001355.48944196,566348.88698074,592499.037444237,282033.695738134,245225.623795469,3063471.32559585
2024-12-30,DE,0,0,0,457166.198050372,371159.21661685,232178.944198727,2329564.50963561
2025-01-06,DE,678776.560419323,141055.120003888,0,655788.298595858,353679.089198027,242356.803790629,2636880.10508402
2025-01-13,DE,71072.7231599561,0,0,683766.748769707,373008.873914238,259088.742758433,2616747.01142008
2025-01-20,DE,323643.231539633,974862.778600412,705085.177976268,407449.464195555,402898.003190326,300741.299662974,3475271.0590906
2025-01-27,DE,0,0,0,975884.852947694,0,0,2859373.20397803
